    User: webservices
    Date: Sun 20-Sep-2020 (264) 09:30:09
  Status: request completed successfully


GROUP 1    Satellite   Resolution   Factor
            iss            60         1

           Start Time           Stop Time 
           2020 145  0.00000    2020 146  0.00000


 Coord/            Min/Max          Range Filter              Filter
Component   Output Markers      Minimum         Maximum      Mins/Maxes
GEO X        YES      -           -               -               -   
GEO Y        YES      -           -               -               -   
GEO Z        YES      -           -               -               -   
GEO Lat      YES      -           -               -               -   
GEO Lon      YES      -           -               -               -   


Addtnl             Min/Max          Range Filter              Filter
Options     Output Markers      Minimum         Maximum      Mins/Maxes
dEarth       YES      -           -               -               -   

Output - File: 
         lines per page: 0
 
Formats and units:
    Day/Time format: YY/MM/DD HH:MM:SS
    Degrees/Hemisphere format: Decimal degrees with 2 place(s).
        Longitude 0 to 360, latitude -90 to 90.
    Distance format: Kilometers with 3 place(s).

iss
       Time                           GEO (km)                         GEO          Radius    
yy/mm/dd hh:mm:ss        X               Y               Z          Lat   Long       (km)     

20/05/24 00:00:00        2581.910        5708.196       -2645.336 -22.89  65.66       6800.556
20/05/24 00:01:00        2264.990        5692.608       -2951.938 -25.73  68.30       6800.728
20/05/24 00:02:00        1937.544        5653.985       -3245.037 -28.50  71.08       6800.874
20/05/24 00:03:00        1600.865        5592.598       -3523.300 -31.20  74.03       6800.997
20/05/24 00:04:00        1256.285        5508.808       -3785.458 -33.82  77.15       6801.097
20/05/24 00:05:00         905.175        5403.069       -4030.320 -36.34  80.49       6801.175
20/05/24 00:06:00         548.941        5275.919       -4256.773 -38.75  84.06       6801.234
20/05/24 00:07:00         189.014        5127.982       -4463.789 -41.02  87.89       6801.274
20/05/24 00:08:00        -173.152        4959.959       -4650.428 -43.14  92.00       6801.298
20/05/24 00:09:00        -536.088        4772.634       -4815.844 -45.08  96.41       6801.307
20/05/24 00:10:00        -898.315        4566.858       -4959.288 -46.82 101.13       6801.301
20/05/24 00:11:00       -1258.351        4343.559       -5080.109 -48.33 106.16       6801.284
20/05/24 00:12:00       -1614.715        4103.723       -5177.762 -49.58 111.48       6801.255
20/05/24 00:13:00       -1965.934        3848.402       -5251.804 -50.55 117.06       6801.216
20/05/24 00:14:00       -2310.549        3578.702       -5301.901 -51.22 122.85       6801.169
20/05/24 00:15:00       -2647.122        3295.781       -5327.823 -51.57 128.77       6801.112
20/05/24 00:16:00       -2974.240        3000.843       -5329.455 -51.59 134.74       6801.048
20/05/24 00:17:00       -3290.520        2695.135       -5306.788 -51.29 140.68       6800.976
20/05/24 00:18:00       -3594.620        2379.939       -5259.924 -50.66 146.49       6800.897
20/05/24 00:19:00       -3885.236        2056.568       -5189.073 -49.73 152.11       6800.810
20/05/24 00:20:00       -4161.117        1726.363       -5094.556 -48.51 157.47       6800.715
20/05/24 00:21:00       -4421.063        1390.683       -4976.799 -47.04 162.54       6800.612
20/05/24 00:22:00       -4663.934        1050.901       -4836.333 -45.33 167.30       6800.499
20/05/24 00:23:00       -4888.654         708.403       -4673.795 -43.42 171.75       6800.377
20/05/24 00:24:00       -5094.215         364.577       -4489.920 -41.32 175.91       6800.245
20/05/24 00:25:00       -5279.685          20.808       -4285.540 -39.07 179.77       6800.100
20/05/24 00:26:00       -5444.206        -321.524       -4061.582 -36.68 183.38       6799.942
20/05/24 00:27:00       -5587.007        -661.052       -3819.063 -34.17 186.75       6799.771
20/05/24 00:28:00       -5707.398        -996.428       -3559.085 -31.56 189.90       6799.584
20/05/24 00:29:00       -5804.781       -1326.325       -3282.829 -28.87 192.87       6799.381
20/05/24 00:30:00       -5878.651       -1649.449       -2991.554 -26.10 195.67       6799.163
20/05/24 00:31:00       -5928.595       -1964.533       -2686.588 -23.28 198.33       6798.926
20/05/24 00:32:00       -5954.303       -2270.356       -2369.321 -20.40 200.87       6798.671
